id,name,category,unit,selectedPrice,selectedSource,minPrice,maxPrice,avgPrice,priceCount,generatedAt
cemento_50kg,Cemento Portland 50kg,obra_gruesa,bolsa,11800,Manual,11800,11800,11800,1,2026-06-15T20:12:18.895Z
cemento_albanileria_25kg,Cemento de albañilería 25kg,obra_gruesa,bolsa,6400,LaAlianzaCorralon,6400,37077.18,12653.98,7,2026-06-15T20:12:18.895Z
cal_hidratada_25kg,Cal hidratada 25kg,obra_gruesa,bolsa,11000,LaAlianzaCorralon,7113.34,12000,10129.51,8,2026-06-15T20:12:18.895Z
ladrillo_hueco_18,Ladrillo hueco 18x18x33,mamposteria,unidad,1090,Manual,814.94,1298.98,1056.82,4,2026-06-15T20:12:18.895Z
arena_m3,Arena por m³,aridos,m3,42000,Manual,19819.252,62817.88,42999.13,7,2026-06-15T20:12:18.895Z
cal_hidratada_kg,Cal hidratada,obra_gruesa,kg,6300,Manual,6300,10097.05,7889.35,6,2026-06-15T20:12:18.895Z
cal_aerea_kg,Cal aérea,obra_gruesa,kg,6780,Manual,6780,7000,6890,2,2026-06-15T20:12:18.895Z
hierro_del_6,Hierro nervurado Ø6mm (12m),hierros,barra,6700,Manual,6185.33,97706,29250.07,4,2026-06-15T20:12:18.895Z
hierro_del_8,Hierro nervurado Ø8mm (12m),hierros,barra,10500,Manual,9684.72,87436.61,25861.16,5,2026-06-15T20:12:18.895Z
nylon_200_micrones,Nylon 200 micrones (rollo por metro),obra_gruesa,m,1300,Median,1300,1300,1300,1,2026-06-15T20:12:18.895Z
ceramico_calcareo_33x33,Cerámico calcáreo 33x33 (caja x10),ceramicos,caja,32699,Manual,12114.242,32699,17953.99,4,2026-06-15T20:12:18.895Z
porcelanato_60x60,Porcelanato 60x60,ceramicos,m2,40536.972,CorralonFernandes,14328.822,40536.972,28698.00,8,2026-06-15T20:12:18.895Z
revestimiento_brick_10x10,Revestimiento tipo Brick 10x10,ceramicos,m2,39208,Manual,39208,43187.34,41197.67,2,2026-06-15T20:12:18.895Z
microcemento_m2,Microcemento aplicado (insumo),revoques,m2,32438,Manual,32438,32438,32438,1,2026-06-15T20:12:18.895Z
piso_vinilico_spc_4mm,Piso vinílico SPC 4mm,placas,m2,44980,Manual,44980,44980,44980,1,2026-06-15T20:12:18.895Z
zocalo_eps_blanco,Zócalo EPS Cover 22x100x2400mm,perfileria,varilla,16276,Manual,12538.82,20223.18,16346,3,2026-06-15T20:12:18.895Z
placa_durlock_12_5,Placa Durlock 12.5mm 1.20x2.40,cielorraso_durlock,placa,25000,LaAlianzaCorralon,16520.27,57281.25,31359.71,4,2026-06-15T20:12:18.895Z
lana_vidrio_50mm,Lana de vidrio 50mm (rollo),cielorraso_durlock,m2,159834.18,CorralonFernandes,90429.77,211617.83,152699.52,11,2026-06-15T20:12:18.895Z
perfil_t_techo,Perfil T para techo liviano,cielorraso_durlock,ml,5000,LaAlianzaCorralon,2877.33,148649.46,59718.76,15,2026-06-15T20:12:18.895Z
moldura_buna_z,Moldura buña Z (perfil),perfileria,ml,3941.85,Median,3941.85,3941.85,3941.85,1,2026-06-15T20:12:18.895Z
chapa_sinusoidal_aislada,Chapa sinusoidal con aislación,cubiertas,m2,,,,,,0,2026-06-15T20:12:18.895Z
latex_interior_20l,Látex interior balde 20L,pintura,balde,185724.95,Median,185724.95,185724.95,185724.95,1,2026-06-15T20:12:18.895Z
enduido_plastico_30kg,Enduido plástico 30kg,pintura,balde,,,,,,0,2026-06-15T20:12:18.895Z
hidrofugo_pegamento_kg,Hidrófugo / pegamento Sika,pegamentos,kg,126876.92,CorralonFernandes,8519.22,126876.92,39917.24,11,2026-06-15T20:12:18.895Z
inodoro_corto_valvula,Inodoro corto con válvula,sanitarios,unidad,250000,LaAlianzaCorralon,97128.49,250000,177313.57,9,2026-06-15T20:12:18.895Z
bacha_apoyar_loza,Bacha de apoyar (loza),sanitarios,unidad,138000,Manual,41010.09,506949.35,168698.16,22,2026-06-15T20:12:18.895Z
griferia_monocomando_bacha,Grifería monocomando bacha,griferias,unidad,115442.04,Median,31350.5,228500.98,129647.53,23,2026-06-15T20:12:18.895Z
rejilla_lineal_60,Rejilla lineal de ducha 60cm,sanitarios,unidad,52550,Manual,52550,65115.14,57727.22,4,2026-06-15T20:12:18.895Z
calefon_electrico_chico,Calefón eléctrico instantáneo (chico),plomeria,unidad,526000,Median,526000,526000,526000,1,2026-06-15T20:12:18.895Z
spot_dicroica_led,Spot dicroico LED + caja cardánica,iluminacion,unidad,,,,,,0,2026-06-15T20:12:18.895Z
