id,name,category,unit,selectedPrice,selectedSource,minPrice,maxPrice,avgPrice,priceCount,generatedAt
cemento_50kg,Cemento Portland 50kg,obra_gruesa,bolsa,11800,Manual,8800,11800,10300,2,2026-08-02T08:03:42.400Z
cemento_albanileria_25kg,Cemento de albañilería 25kg,obra_gruesa,bolsa,6400,LaAlianzaCorralon,6400,38478.73,13749.64,6,2026-08-02T08:03:42.400Z
cal_hidratada_25kg,Cal hidratada 25kg,obra_gruesa,bolsa,11000,LaAlianzaCorralon,7113.35,12000,10374.88,7,2026-08-02T08:03:42.400Z
ladrillo_hueco_18,Ladrillo hueco 18x18x33,mamposteria,unidad,1090,Manual,883.22,1299,1085.33,4,2026-08-02T08:03:42.400Z
arena_m3,Arena por m³,aridos,m3,42000,Manual,19179.922,69099.66,43791.37,8,2026-08-02T08:03:42.400Z
cal_hidratada_kg,Cal hidratada,obra_gruesa,kg,6300,Manual,6300,17640,9427.36,6,2026-08-02T08:03:42.400Z
cal_aerea_kg,Cal aérea,obra_gruesa,kg,6780,Manual,6780,17640,10473.33,3,2026-08-02T08:03:42.400Z
hierro_del_6,Hierro nervurado Ø6mm (12m),hierros,barra,6700,Manual,6609.93,96840,42703.82,5,2026-08-02T08:03:42.400Z
hierro_del_8,Hierro nervurado Ø8mm (12m),hierros,barra,10500,Manual,10034.57,67964.15,22334.27,5,2026-08-02T08:03:42.400Z
nylon_200_micrones,Nylon 200 micrones (rollo por metro),obra_gruesa,m,1300,Median,1300,1300,1300,1,2026-08-02T08:03:42.400Z
ceramico_calcareo_33x33,Cerámico calcáreo 33x33 (caja x10),ceramicos,caja,32699,Manual,13448.912,32699,18565.20,4,2026-08-02T08:03:42.400Z
porcelanato_60x60,Porcelanato 60x60,ceramicos,m2,42531.982,CorralonFernandes,15031.012,71535.6,32721.10,8,2026-08-02T08:03:42.400Z
revestimiento_brick_10x10,Revestimiento tipo Brick 10x10,ceramicos,m2,39208,Manual,39208,43187.34,41197.67,2,2026-08-02T08:03:42.400Z
microcemento_m2,Microcemento aplicado (insumo),revoques,m2,32438,Manual,32438,543637.8,214005.07,3,2026-08-02T08:03:42.400Z
piso_vinilico_spc_4mm,Piso vinílico SPC 4mm,placas,m2,44980,Manual,44980,227639.7,136309.85,2,2026-08-02T08:03:42.400Z
zocalo_eps_blanco,Zócalo EPS Cover 22x100x2400mm,perfileria,varilla,16276,Manual,13012.74,21238.33,16842.36,3,2026-08-02T08:03:42.400Z
placa_durlock_12_5,Placa Durlock 12.5mm 1.20x2.40,cielorraso_durlock,placa,25000,LaAlianzaCorralon,18201.56,71716.87,36066.67,4,2026-08-02T08:03:42.400Z
lana_vidrio_50mm,Lana de vidrio 50mm (rollo),cielorraso_durlock,m2,159834.18,CorralonFernandes,19763.1,220123.91,122900.93,15,2026-08-02T08:03:42.400Z
perfil_t_techo,Perfil T para techo liviano,cielorraso_durlock,ml,4500,LaAlianzaCorralon,2767.18,154211.18,57158.26,18,2026-08-02T08:03:42.400Z
moldura_buna_z,Moldura buña Z (perfil),perfileria,ml,3840.75,Median,3840.75,3840.75,3840.75,1,2026-08-02T08:03:42.400Z
chapa_sinusoidal_aislada,Chapa sinusoidal con aislación,cubiertas,m2,,,,,,0,2026-08-02T08:03:42.400Z
latex_interior_20l,Látex interior balde 20L,pintura,balde,141431.4,Median,7083.9,260349.3,145579.78,15,2026-08-02T08:03:42.400Z
enduido_plastico_30kg,Enduido plástico 30kg,pintura,balde,101131.2,Median,101131.2,101131.2,101131.20,1,2026-08-02T08:03:42.400Z
hidrofugo_pegamento_kg,Hidrófugo / pegamento Sika,pegamentos,kg,134489.54,CorralonFernandes,19268.42,134489.54,46654.42,9,2026-08-02T08:03:42.400Z
inodoro_corto_valvula,Inodoro corto con válvula,sanitarios,unidad,250000,LaAlianzaCorralon,106841.34,845475.4,261756.81,9,2026-08-02T08:03:42.400Z
bacha_apoyar_loza,Bacha de apoyar (loza),sanitarios,unidad,138000,Manual,45119.58,516793.03,176550.86,23,2026-08-02T08:03:42.400Z
griferia_monocomando_bacha,Grifería monocomando bacha,griferias,unidad,135164.67,Median,31350.5,237641.28,133223.07,23,2026-08-02T08:03:42.400Z
rejilla_lineal_60,Rejilla lineal de ducha 60cm,sanitarios,unidad,52550,Manual,52550,68383.74,59965.50,4,2026-08-02T08:03:42.400Z
calefon_electrico_chico,Calefón eléctrico instantáneo (chico),plomeria,unidad,526000,Median,526000,526000,526000,1,2026-08-02T08:03:42.400Z
spot_dicroica_led,Spot dicroico LED + caja cardánica,iluminacion,unidad,,,,,,0,2026-08-02T08:03:42.400Z
