id,name,category,unit,selectedPrice,selectedSource,manualExpired,carriedForward,minPrice,maxPrice,avgPrice,priceCount,generatedAt
cemento_25kg,Cemento Portland 25kg,obra_gruesa,bolsa,8500,Median,,,7503.15,8580,8194.38,3,2026-09-04T13:56:35.436Z
cemento_albanileria_25kg,Cemento de albañilería 25kg,obra_gruesa,bolsa,7850,Median,,,7200,10560.56,8379.78,4,2026-09-04T13:56:35.436Z
cal_hidratada_25kg,Cal hidratada 25kg,obra_gruesa,bolsa,9424.16,Median,,,7113.35,15000,11708.81,7,2026-09-04T13:56:35.436Z
ladrillo_hueco_18,Ladrillo hueco 18x18x33,mamposteria,unidad,1069.1,Median,,,883.22,1346,1097.08,4,2026-09-04T13:56:35.436Z
arena_m3,Arena por m³,aridos,m3,40458.4725,Median,,,38515.07,43318.82,40958.47,4,2026-09-04T13:56:35.436Z
cal_hidratada_kg,Cal hidratada,obra_gruesa,kg,330.7502,Median,,,233.33333333333334,6300,1379.57,6,2026-09-04T13:56:35.436Z
cal_aerea_kg,Cal aérea,obra_gruesa,kg,469.4666666666667,Median,,,233.33333333333334,6780,2572.98,3,2026-09-04T13:56:35.436Z
hierro_del_6,Hierro nervurado Ø6mm (12m),hierros,barra,6816.209999999999,Median,,,6694.98,6937.44,6777.47,3,2026-09-04T13:56:35.436Z
hierro_del_8,Hierro nervurado Ø8mm (12m),hierros,barra,11735.295,Median,,,10500,11979.61,11323.53,3,2026-09-04T13:56:35.436Z
nylon_200_micrones,Nylon 200 micrones (rollo por metro),obra_gruesa,m,1300,Manual,vencido,,1300,1300,1300,1,2026-09-04T13:56:35.436Z
ceramico_calcareo_33x33,Cerámico calcáreo 33x33 (caja x10),ceramicos,caja,32699,Manual,vencido,,32699,32699,32699,1,2026-09-04T13:56:35.436Z
porcelanato_60x60,Porcelanato 60x60,ceramicos,m2,34666.502,Median,,,14687.694444444443,71535.6,31252.33,8,2026-09-04T13:56:35.436Z
revestimiento_brick_10x10,Revestimiento tipo Brick 10x10,ceramicos,m2,39208,Manual,vencido,,39208,39208,39208,1,2026-09-04T13:56:35.436Z
microcemento_m2,Microcemento aplicado (insumo),revoques,m2,13062.651428571427,Median,,,12272.631428571427,32438,19521.10,3,2026-09-04T13:56:35.436Z
piso_vinilico_spc_4mm,Piso vinílico SPC 4mm,placas,m2,44980,Manual,vencido,,44980,44980,44980,1,2026-09-04T13:56:35.436Z
zocalo_eps_blanco,Zócalo EPS Cover 22x100x2400mm,perfileria,varilla,17211.71,Median,,,13185.08,21238.34,16899.81,3,2026-09-04T13:56:35.436Z
placa_durlock_12_5,Placa Durlock 12.5mm 1.20x2.40,cielorraso_durlock,placa,26292.265,Median,,,18201.56,71716.87,34017.50,5,2026-09-04T13:56:35.436Z
lana_vidrio_50mm,Lana de vidrio 50mm (rollo),cielorraso_durlock,m2,5986.759206018518,Median,,,1973.7383333333335,13235.561111111112,6428.10,8,2026-09-04T13:56:35.436Z
perfil_t_techo,Perfil T para techo liviano,cielorraso_durlock,ml,1791.9877049180327,Median,,,1597.8852459016393,1991.934426229508,1776.20,6,2026-09-04T13:56:35.436Z
moldura_buna_z,Moldura buña Z (perfil),perfileria,ml,1496.776923076923,Median,,,1496.776923076923,1496.776923076923,1496.78,1,2026-09-04T13:56:35.436Z
chapa_sinusoidal_aislada,Chapa sinusoidal con aislación,cubiertas,m2,,,,,,,,0,2026-09-04T13:56:35.436Z
latex_interior_20l,Látex interior balde 20L,pintura,balde,163595.655,Median,,,63900,260349.3,149680.67,14,2026-09-04T13:56:35.436Z
enduido_plastico_30kg,Enduido plástico 30kg,pintura,balde,101131.2,Median,,,101131.2,101131.2,101131.20,1,2026-09-04T13:56:35.436Z
hidrofugo_pegamento_kg,Hidrófugo / pegamento Sika,pegamentos,kg,1493.5883999999999,Median,,,642.2806666666667,134489.54,16771.14,9,2026-09-04T13:56:35.436Z
inodoro_corto_valvula,Inodoro corto con válvula,sanitarios,unidad,203281.33500000002,Median,,,106841.34,891976.82,271541.54,9,2026-09-04T13:56:35.436Z
bacha_apoyar_loza,Bacha de apoyar (loza),sanitarios,unidad,160089.675,Median,,,45119.58,545216.44,174618.63,28,2026-09-04T13:56:35.436Z
griferia_monocomando_bacha,Grifería monocomando bacha,griferias,unidad,133415.7275,Median,,,31350.5,245958.72,137181.56,23,2026-09-04T13:56:35.436Z
rejilla_lineal_60,Rejilla lineal de ducha 60cm,sanitarios,unidad,59464.14,Median,,,52550,68383.75,59965.51,4,2026-09-04T13:56:35.436Z
calefon_electrico_chico,Calefón eléctrico instantáneo (chico),plomeria,unidad,526000,Manual,vencido,,526000,526000,526000,1,2026-09-04T13:56:35.436Z
spot_dicroica_led,Spot dicroico LED + caja cardánica,iluminacion,unidad,,,,,,,,0,2026-09-04T13:56:35.436Z
