id,name,category,unit,selectedPrice,selectedSource,manualExpired,carriedForward,minPrice,maxPrice,avgPrice,priceCount,generatedAt
cemento_25kg,Cemento Portland 25kg,obra_gruesa,bolsa,8249.625,Median,,,7699.25,8800,8249.63,2,2026-09-18T14:02:48.820Z
cemento_albanileria_25kg,Cemento de albañilería 25kg,obra_gruesa,bolsa,8000,Median,,,7200,10560.56,8501.47,4,2026-09-18T14:02:48.820Z
cal_hidratada_25kg,Cal hidratada 25kg,obra_gruesa,bolsa,10556.675,Median,,,7113.35,15000,12622.67,5,2026-09-18T14:02:48.820Z
ladrillo_hueco_18,Ladrillo hueco 18x18x33,mamposteria,unidad,976.16,Median,,,883.22,1090,1014.11,3,2026-09-18T14:02:48.820Z
arena_m3,Arena por m³,aridos,m3,40916.945,Median,,,38515.07,43318.82,41277.96,3,2026-09-18T14:02:48.820Z
cal_hidratada_kg,Cal hidratada,obra_gruesa,kg,284.534,Median,,,233.33333333333334,6300,1880.87,4,2026-09-18T14:02:48.820Z
cal_aerea_kg,Cal aérea,obra_gruesa,kg,469.4666666666667,Median,,,233.33333333333334,6780,2572.98,3,2026-09-18T14:02:48.820Z
hierro_del_6,Hierro nervurado Ø6mm (12m),hierros,barra,6700,Manual,vencido,,6700,6700,6700,1,2026-09-18T14:02:48.820Z
hierro_del_8,Hierro nervurado Ø8mm (12m),hierros,barra,10500,Manual,vencido,,10500,10500,10500,1,2026-09-18T14:02:48.820Z
nylon_200_micrones,Nylon 200 micrones (rollo por metro),obra_gruesa,m,1300,Manual,vencido,,1300,1300,1300,1,2026-09-18T14:02:48.820Z
ceramico_calcareo_33x33,Cerámico calcáreo 33x33 (caja x10),ceramicos,caja,32699,Manual,vencido,,32699,32699,32699,1,2026-09-18T14:02:48.820Z
porcelanato_60x60,Porcelanato 60x60,ceramicos,m2,53101.05100000001,Median,,,15031.012,71535.6,33618.71,7,2026-09-18T14:02:48.820Z
revestimiento_brick_10x10,Revestimiento tipo Brick 10x10,ceramicos,m2,39208,Manual,vencido,,39208,39208,39208,1,2026-09-18T14:02:48.820Z
microcemento_m2,Microcemento aplicado (insumo),revoques,m2,13591.157142857144,Median,,,12763.517142857143,32438,19873.44,3,2026-09-18T14:02:48.820Z
piso_vinilico_spc_4mm,Piso vinílico SPC 4mm,placas,m2,44980,Manual,vencido,,44980,44980,44980,1,2026-09-18T14:02:48.820Z
zocalo_eps_blanco,Zócalo EPS Cover 22x100x2400mm,perfileria,varilla,21238.34,Median,,,16276,21238.34,18757.17,2,2026-09-18T14:02:48.820Z
placa_durlock_12_5,Placa Durlock 12.5mm 1.20x2.40,cielorraso_durlock,placa,,,,,,,,0,2026-09-18T14:02:48.820Z
lana_vidrio_50mm,Lana de vidrio 50mm (rollo),cielorraso_durlock,m2,4741.117486111111,Median,,,1973.7383333333335,13235.561111111112,6160.00,6,2026-09-18T14:02:48.820Z
perfil_t_techo,Perfil T para techo liviano,cielorraso_durlock,ml,1932.8278688524592,Median,,,1779.01912568306,1991.934426229508,1901.26,3,2026-09-18T14:02:48.820Z
moldura_buna_z,Moldura buña Z (perfil),perfileria,ml,,,,,,,,0,2026-09-18T14:02:48.820Z
chapa_sinusoidal_aislada,Chapa sinusoidal con aislación,cubiertas,m2,,,,,,,,0,2026-09-18T14:02:48.820Z
latex_interior_20l,Látex interior balde 20L,pintura,balde,163595.655,Median,,,63900,260349.3,145004.54,14,2026-09-18T14:02:48.820Z
enduido_plastico_30kg,Enduido plástico 30kg,pintura,balde,101131.2,Median,,,101131.2,101131.2,101131.20,1,2026-09-18T14:02:48.820Z
hidrofugo_pegamento_kg,Hidrófugo / pegamento Sika,pegamentos,kg,1493.5883999999999,Median,,,642.2806666666667,134489.54,16771.14,9,2026-09-18T14:02:48.820Z
inodoro_corto_valvula,Inodoro corto con válvula,sanitarios,unidad,214298.67,Median,,,106841.34,891976.82,281451.23,8,2026-09-18T14:02:48.820Z
bacha_apoyar_loza,Bacha de apoyar (loza),sanitarios,unidad,165044.8375,Median,,,45119.58,545216.44,163957.30,17,2026-09-18T14:02:48.820Z
griferia_monocomando_bacha,Grifería monocomando bacha,griferias,unidad,124845.265,Median,,,94522.37,143616.75,121957.41,4,2026-09-18T14:02:48.820Z
rejilla_lineal_60,Rejilla lineal de ducha 60cm,sanitarios,unidad,59464.14,Median,,,52550,68383.75,59965.51,4,2026-09-18T14:02:48.820Z
calefon_electrico_chico,Calefón eléctrico instantáneo (chico),plomeria,unidad,526000,Manual,vencido,,526000,526000,526000,1,2026-09-18T14:02:48.820Z
spot_dicroica_led,Spot dicroico LED + caja cardánica,iluminacion,unidad,,,,,,,,0,2026-09-18T14:02:48.820Z
